trade_date,symbol,pre_close,open,high,low,close,total_vol,total_amt,upper_limit,lower_limit
2023-04-13,600519.SH,1694.1,1690.0,1723.59,1684.01,1723.0,2954268,5049310126.0,1863.51,1524.69
2023-04-12,600519.SH,1745.5,1747.26,1750.0,1692.82,1694.1,5110492,8732657376.0,1920.05,1570.95
2023-04-11,600519.SH,1771.7,1793.0,1793.0,1744.0,1745.5,2920919,5138854627.0,1948.87,1594.53
2023-04-10,600519.SH,1790.99,1790.88,1790.88,1744.0,1771.7,2941822,5171150567.0,1970.09,1611.89
2023-04-07,600519.SH,1796.96,1795.0,1806.01,1788.34,1790.99,1352468,2428160574.0,1976.66,1617.26
2023-04-06,600519.SH,1814.59,1805.0,1815.9,1788.22,1796.96,1487422,2676251956.0,1996.05,1633.13
2023-04-04,600519.SH,1802.07,1812.0,1815.17,1787.0,1814.59,2006626,3614275263.0,1982.28,1621.86
2023-04-03,600519.SH,1820.0,1825.0,1827.77,1800.08,1802.07,2141743,3875811673.0,2002.0,1638.0
2023-03-31,600519.SH,1800.0,1825.0,1848.0,1819.0,1820.0,2744633,5024790356.0,1980.0,1620.0
2023-03-30,600519.SH,1790.0,1793.0,1805.0,1779.0,1800.0,1925701,3453573052.0,1969.0,1611.0
2023-03-29,600519.SH,1781.8,1799.0,1800.0,1785.07,1790.0,1539299,2761909333.0,1959.98,1603.62
2023-03-28,600519.SH,1767.79,1770.0,1790.0,1765.02,1781.8,1726135,3073113077.0,1944.57,1591.01
2023-03-27,600519.SH,1778.62,1778.6,1778.6,1756.0,1767.79,1529555,2700755933.0,1956.48,1600.76
2023-03-24,600519.SH,1774.86,1769.08,1783.6,1766.0,1778.62,1276996,2269649179.0,1952.35,1597.37
2023-03-23,600519.SH,1773.35,1766.0,1791.11,1765.01,1774.86,1735566,3082821551.0,1950.69,1596.02
2023-03-22,600519.SH,1775.0,1780.0,1793.0,1765.55,1773.35,1533026,2727648674.0,1952.5,1597.5
2023-03-21,600519.SH,1729.6,1735.0,1785.85,1723.97,1775.0,3114182,5491052284.0,1902.56,1556.64
2023-03-20,600519.SH,1742.0,1751.0,1755.0,1728.0,1729.6,2049093,3557872017.0,1916.2,1567.8
2023-03-17,600519.SH,1751.99,1770.0,1775.89,1736.0,1742.0,2702291,4744249369.0,1927.19,1576.79
2023-03-16,600519.SH,1750.92,1740.0,1770.0,1739.01,1751.99,1764624,3096791142.0,1926.01,1575.83
2023-03-15,600519.SH,1766.0,1778.37,1784.88,1750.12,1750.92,1921253,3392698490.0,1942.6,1589.4
2023-03-14,600519.SH,1762.0,1763.78,1779.88,1738.5,1766.0,2370492,4177289027.0,1938.2,1585.8
2023-03-13,600519.SH,1750.0,1751.0,1775.0,1749.0,1762.0,2056043,3626476291.0,1925.0,1575.0
2023-03-10,600519.SH,1770.02,1751.57,1781.0,1750.0,1750.0,2116082,3725139075.0,1947.02,1593.02
2023-03-09,600519.SH,1770.42,1768.0,1785.0,1740.0,1770.02,2761150,4881442710.0,1947.46,1593.38
2023-03-08,600519.SH,1788.3,1780.02,1785.94,1761.12,1770.42,2276370,4035787172.0,1967.13,1609.47
2023-03-07,600519.SH,1807.14,1805.98,1816.6,1788.0,1788.3,2278539,4101302456.0,1987.85,1626.43
2023-03-06,600519.SH,1818.04,1818.18,1818.5,1796.77,1807.14,2064586,3730079522.0,1999.84,1636.24
2023-03-03,600519.SH,1828.0,1839.77,1841.61,1802.48,1818.04,1619806,2946842659.0,2010.8,1645.2
2023-03-02,600519.SH,1838.53,1829.0,1838.99,1821.1,1828.0,1314419,2405292304.0,2022.38,1654.68
2023-03-01,600519.SH,1813.74,1813.0,1848.0,1803.23,1838.53,2445810,4475592195.0,1995.11,1632.37
2023-02-28,600519.SH,1810.41,1819.0,1822.01,1783.3,1813.74,2395181,4314877096.0,1991.45,1629.37
2023-02-27,600519.SH,1788.0,1778.5,1815.0,1775.02,1810.41,2206489,3978128676.0,1966.8,1609.2
2023-02-24,600519.SH,1818.0,1810.11,1810.19,1782.18,1788.0,2463461,4415621498.0,1999.8,1636.2
2023-02-23,600519.SH,1836.0,1840.0,1848.8,1805.25,1818.0,2188097,3983991208.0,2019.6,1652.4
2023-02-22,600519.SH,1867.0,1855.01,1863.9,1831.8,1836.0,2186916,4031016045.0,2053.7,1680.3
2023-02-21,600519.SH,1875.0,1874.0,1874.0,1851.0,1867.0,1875052,3491633510.0,2062.5,1687.5
2023-02-20,600519.SH,1820.78,1821.0,1878.8,1817.2,1875.0,2966869,5488800056.0,2002.86,1638.7
2023-02-17,600519.SH,1861.82,1850.16,1873.0,1820.05,1820.78,2644283,4880328952.0,2048.0,1675.64
2023-02-16,600519.SH,1841.0,1841.34,1887.0,1828.0,1861.82,3324595,6196915130.0,2025.1,1656.9
2023-02-15,600519.SH,1843.79,1843.78,1855.3,1835.81,1841.0,1817691,3351422211.0,2028.17,1659.41
2023-02-14,600519.SH,1856.35,1856.46,1857.4,1835.0,1843.79,1956576,3601769574.0,2041.99,1670.72
2023-02-13,600519.SH,1810.0,1810.0,1874.5,1810.0,1856.35,3814670,7058382498.0,1991.0,1629.0
2023-02-10,600519.SH,1818.0,1810.1,1818.49,1801.05,1810.0,1798451,3253859317.0,1999.8,1636.2
2023-02-09,600519.SH,1784.0,1778.0,1829.75,1775.01,1818.0,2975366,5401399088.0,1962.4,1605.6
2023-02-08,600519.SH,1797.0,1800.01,1805.97,1775.0,1784.0,1667577,2980574806.0,1976.7,1617.3
2023-02-07,600519.SH,1795.0,1808.08,1808.8,1787.73,1797.0,2432171,4373671735.0,1974.5,1615.5
2023-02-06,600519.SH,1818.0,1780.0,1795.0,1760.0,1795.0,4266095,7595739044.0,1999.8,1636.2
2023-02-03,600519.SH,1836.11,1820.0,1826.0,1795.68,1818.0,3494490,6324635031.0,2019.72,1652.5
2023-02-02,600519.SH,1844.97,1848.38,1859.0,1826.0,1836.11,2975886,5465509510.0,2029.47,1660.47
2023-02-01,600519.SH,1845.76,1854.98,1859.0,1811.4,1844.97,3397389,6244678925.0,2030.34,1661.18
2023-01-31,600519.SH,1888.0,1896.5,1899.95,1833.07,1845.76,3299068,6128311548.0,2076.8,1699.2
2023-01-30,600519.SH,1860.01,1909.0,1909.0,1880.0,1888.0,3592255,6799756571.0,2046.01,1674.01
2023-01-20,600519.SH,1880.21,1889.19,1898.25,1858.0,1860.01,2560875,4807356071.0,2068.23,1692.19
2023-01-19,600519.SH,1893.0,1892.5,1892.52,1866.0,1880.21,2343889,4401994437.0,2082.3,1703.7
2023-01-18,600519.SH,1908.0,1914.0,1925.3,1890.0,1893.0,2106293,4008665438.0,2098.8,1717.2
2023-01-17,600519.SH,1912.9,1913.16,1923.0,1895.0,1908.0,2129923,4068321409.0,2104.19,1721.61
2023-01-16,600519.SH,1887.0,1886.0,1935.0,1881.0,1912.9,3684826,7059982640.0,2075.7,1698.3
2023-01-13,600519.SH,1834.0,1844.18,1888.0,1840.0,1887.0,3193965,5969876222.0,2017.4,1650.6
2023-01-12,600519.SH,1844.95,1848.0,1856.0,1833.0,1834.0,1719317,3162637136.0,2029.45,1660.46
2023-01-11,600519.SH,1854.45,1856.0,1860.0,1836.84,1844.95,2272031,4201487773.0,2039.9,1669.01
2023-01-10,600519.SH,1841.2,1839.06,1864.5,1830.5,1854.45,2273173,4204783734.0,2025.32,1657.08
2023-01-09,600519.SH,1803.77,1835.0,1849.98,1807.82,1841.2,3097723,5684181147.0,1984.15,1623.39
2023-01-06,600519.SH,1801.0,1806.12,1811.9,1787.0,1803.77,2490375,4480838898.0,1981.1,1620.9
2023-01-05,600519.SH,1725.01,1737.0,1801.0,1733.0,1801.0,4794285,8541587089.0,1897.51,1552.51
2023-01-04,600519.SH,1730.01,1730.0,1738.7,1716.0,1725.01,2041575,3523582306.0,1903.01,1557.01
2023-01-03,600519.SH,1727.0,1731.2,1738.43,1706.01,1730.01,2603380,4487760231.0,1899.7,1554.3
2022-12-30,600519.SH,1719.0,1736.0,1752.99,1727.0,1727.0,2533312,4409544297.0,1890.9,1547.1
2022-12-29,600519.SH,1733.0,1717.0,1726.99,1701.05,1719.0,2241780,3844499655.0,1906.3,1559.7
2022-12-28,600519.SH,1733.0,1745.88,1747.0,1708.01,1733.0,2143790,3699948995.0,1906.3,1559.7
2022-12-27,600519.SH,1720.15,1738.0,1747.15,1725.5,1733.0,1790505,3109270166.0,1892.17,1548.14
2022-12-26,600519.SH,1771.0,1771.0,1771.0,1735.02,1742.06,2138380,3749121030.0,1948.1,1593.9
2022-12-23,600519.SH,1768.0,1752.4,1782.0,1745.0,1771.0,1731921,3063608409.0,1944.8,1591.2
2022-12-22,600519.SH,1739.0,1756.7,1783.0,1745.0,1768.0,2317534,4093861570.0,1912.9,1565.1
2022-12-21,600519.SH,1715.0,1724.0,1739.0,1717.65,1739.0,2281614,3948926227.0,1886.5,1543.5
2022-12-20,600519.SH,1773.0,1765.33,1765.33,1682.45,1715.0,4619840,7944120661.0,1950.3,1595.7
2022-12-19,600519.SH,1786.87,1798.8,1798.8,1760.17,1773.0,2498710,4447236356.0,1965.56,1608.18
2022-12-16,600519.SH,1786.99,1773.25,1791.0,1743.0,1786.87,3330266,5901587128.0,1965.69,1608.29
2022-12-15,600519.SH,1770.87,1805.0,1816.0,1780.0,1786.99,3063444,5497063390.0,1947.96,1593.78
